seed,test_window_index,scale,router_weight
42,57,2,0.16768759489059448
42,57,4,0.5905544757843018
42,58,1,0.21821080148220065
42,58,2,0.15637819468975067
42,58,4,0.6254110336303711
42,59,1,0.20754337310791013
42,59,2,0.1496294140815735
42,59,4,0.6428272128105164
42,60,1,0.2010779827833176
42,60,2,0.14551188051700592
42,60,4,0.6534101963043213
42,61,1,0.1995854377746582
42,61,2,0.14456036686897275
42,61,4,0.6558541655540465
42,62,1,0.19347910583019257
42,62,2,0.13997726142406464
42,62,4,0.6665436029434204
42,63,1,0.19142006337642667
42,63,2,0.13833457231521606
42,63,4,0.6702452898025513
42,64,1,0.18945057690143585
42,64,2,0.1367478221654892
42,64,4,0.6738015413284302
42,65,1,0.1894443333148956
42,65,2,0.13672722876071927
42,65,4,0.6738284230232239
42,66,1,0.19235059618949887
42,66,2,0.13904622197151184
42,66,4,0.6686031818389893
42,67,1,0.19965505599975583
42,67,2,0.1445436328649521
42,67,4,0.6558012962341309
42,68,1,0.2050105780363083
42,68,2,0.14792890846729279
42,68,4,0.6470605134963989
42,69,1,0.21371667087078092
42,69,2,0.15348213911056519
42,69,4,0.6328011751174927
42,70,1,0.21892318129539487
42,70,2,0.15676240622997284
42,70,4,0.6243144273757936
42,71,1,0.21780367195606232
42,71,2,0.15605436265468595
42,71,4,0.6261419653892517
42,72,1,0.21857529878616333
42,72,2,0.1565324366092682
42,72,4,0.6248922348022461
42,73,1,0.22069102525711057
42,73,2,0.15785734355449677
42,73,4,0.6214516162872313
42,74,1,0.2315765619277954
42,74,2,0.1634429693222046
42,74,4,0.60498046875
42,75,1,0.23481038212776184
42,75,2,0.16488027572631836
42,75,4,0.6003093719482422
42,76,1,0.24006049335002896
42,76,2,0.1671583652496338
42,76,4,0.5927811861038208
42,77,1,0.23594214022159576
42,77,2,0.16537201404571533
42,77,4,0.5986858010292053
42,78,1,0.24619027972221372
42,78,2,0.16981276869773865
42,78,4,0.5839969515800476
42,79,1,0.24326053261756897
42,79,2,0.16858038306236267
42,79,4,0.5881590843200684
42,80,1,0.2441017180681229
42,80,2,0.16897249221801755
42,80,4,0.5869258046150208
42,81,1,0.22846367955207825
42,81,2,0.16216319799423215
42,81,4,0.6093730926513672
42,82,1,0.2157517969608307
42,82,2,0.15487705171108243
42,82,4,0.6293711066246033
42,83,1,0.20326113700866696
42,83,2,0.1469295024871826
42,83,4,0.6498093008995056
42,84,1,0.19807574152946472
42,84,2,0.14357390999794006
42,84,4,0.6583502888679504
42,85,1,0.19505904614925385
42,85,2,0.1411394476890564
42,85,4,0.6638016104698181
42,86,1,0.1941879838705063
42,86,2,0.140432208776474
42,86,4,0.6653797626495361
42,87,1,0.19478596746921537
42,87,2,0.14090482890605927
42,87,4,0.6643092036247252
42,88,1,0.19113339483737943
42,88,2,0.13797111809253693
42,88,4,0.6708953976631165
42,89,1,0.1915627121925354
42,89,2,0.13830982148647308
42,89,4,0.6701275110244751
42,90,1,0.19352449476718905
42,90,2,0.1398678570985794
42,90,4,0.6666076183319092
42,91,1,0.19699859619140625
42,91,2,0.14264211058616638
42,91,4,0.6603593230247498
42,92,1,0.20294938981533048
42,92,2,0.1466347575187683
42,92,4,0.6504158973693848
42,93,1,0.21406126022338867
42,93,2,0.1537262499332428
42,93,4,0.632212460041046
42,94,1,0.2194146513938904
42,94,2,0.15708601474761963
42,94,4,0.6234992742538452
42,95,1,0.2144785225391388
42,95,2,0.15392619371414185
42,95,4,0.6315953135490417
42,96,1,0.2154579609632492
42,96,2,0.15450778603553772
42,96,4,0.6300342679023743
42,97,1,0.21518810093402865
42,97,2,0.15435190498828888
42,97,4,0.6304600834846497
42,98,1,0.2236691415309906
42,98,2,0.1595931500196457
42,98,4,0.6167377233505249
42,99,1,0.23271189630031583
42,99,2,0.16375042498111725
42,99,4,0.6035376787185669
42,100,1,0.2316013276576996
42,100,2,0.16324813663959503
42,100,4,0.6051505208015442
42,101,1,0.22432999312877652
42,101,2,0.15984593331813812
42,101,4,0.6158241033554077
42,102,1,0.23053677380084991
42,102,2,0.1626702696084976
42,102,4,0.6067929267883301
42,103,1,0.23613315820693967
42,103,2,0.16506069898605347
42,103,4,0.5988061428070068
42,104,1,0.23513001203536987
42,104,2,0.16457347571849823
42,104,4,0.6002964973449707
42,105,1,0.22775492072105408
42,105,2,0.1612248122692108
42,105,4,0.6110202670097351
42,106,1,0.21320153772830963
42,106,2,0.15298612415790555
42,106,4,0.6338123679161072
42,107,1,0.200569212436676
42,107,2,0.14489443600177765
42,107,4,0.6545364260673523
42,108,1,0.19654235243797305
42,108,2,0.14224201440811157
42,108,4,0.6612156033515929
42,109,1,0.19172203540802
42,109,2,0.13892240822315216
42,109,4,0.669355571269989
42,110,1,0.1949714720249176
42,110,2,0.14111478626728055
42,110,4,0.6639137268066406
42,111,1,0.19059972465038297
42,111,2,0.1381007730960846
42,111,4,0.6712995171546936
42,112,1,0.18956579267978668
42,112,2,0.13732193410396576
42,112,4,0.6731122732162476
42,113,1,0.18803466856479645
42,113,2,0.13624615967273712
42,113,4,0.6757190823554993
42,114,1,0.19219540059566495
42,114,2,0.1390666365623474
42,114,4,0.6687380075454712
42,115,1,0.20317614078521729
42,115,2,0.14610208570957184
42,115,4,0.6507217288017273
42,116,1,0.2122509926557541
42,116,2,0.15184788405895233
42,116,4,0.635901153087616
42,117,1,0.22397810220718384
42,117,2,0.15807008743286133
42,117,4,0.6179518103599548
42,118,1,0.22133119404315948
42,118,2,0.15682893991470337
42,118,4,0.6218398213386536
42,119,1,0.22806729376316073
42,119,2,0.15981097519397736
42,119,4,0.6121217012405396
42,120,1,0.21868094801902768
42,120,2,0.15555851161479947
42,120,4,0.625760555267334
42,121,1,0.23286996781826017
42,121,2,0.161760076880455
42,121,4,0.6053699851036072
42,122,1,0.2237960547208786
42,122,2,0.157696932554245
42,122,4,0.6185069680213928
42,123,1,0.22710867226123807
42,123,2,0.15904298424720764
42,123,4,0.6138483285903931
42,124,1,0.23824091255664823
42,124,2,0.16373442113399503
42,124,4,0.5980247259140015
42,125,1,0.23678162693977356
42,125,2,0.1630651354789734
42,125,4,0.6001532077789307
42,126,1,0.2474587708711624
42,126,2,0.16736087203025815
42,126,4,0.585180401802063
42,127,1,0.2609533667564392
42,127,2,0.1726910024881363
42,127,4,0.5663556456565857
42,128,1,0.2643412947654724
42,128,2,0.17395205795764923
42,128,4,0.5617066621780396
42,129,1,0.24007688462734225
42,129,2,0.16420225799083707
42,129,4,0.5957208275794983
42,130,1,0.21732512116432187
42,130,2,0.15421879291534424
42,130,4,0.6284561157226562
42,131,1,0.20198689401149747
42,131,2,0.14528590440750122
42,131,4,0.6527272462844849
42,132,1,0.19490939378738403
42,132,2,0.14067614078521729
42,132,4,0.6644144654273987
42,133,1,0.19440500438213348
42,133,2,0.1402449756860733
42,133,4,0.6653500199317932
42,134,1,0.18924149870872495
42,134,2,0.13683342933654785
42,134,4,0.6739250421524048
42,135,1,0.18718490004539487
42,135,2,0.13540387153625488
42,135,4,0.6774112582206726
42,136,1,0.18522244691848755
42,136,2,0.13402673602104187
42,136,4,0.680750846862793
42,137,1,0.18676218390464783
42,137,2,0.13493284583091736
42,137,4,0.6783050298690796
42,138,1,0.1912100315093994
42,138,2,0.1377236247062683
42,138,4,0.6710662841796875
42,139,1,0.1994945257902145
42,139,2,0.14296390116214752
42,139,4,0.6575415730476379
42,140,1,0.2072725594043732
42,140,2,0.14765578508377075
42,140,4,0.6450716257095337
42,141,1,0.22077648341655728
42,141,2,0.15423764288425443
42,141,4,0.624985933303833
42,142,1,0.2192707061767578
42,142,2,0.15352381765842435
42,142,4,0.627205491065979
42,143,1,0.2210101932287216
42,143,2,0.15425868332386017
42,143,4,0.6247311234474182
42,144,1,0.2301307022571564
42,144,2,0.1581384241580963
42,144,4,0.6117308735847473
42,145,1,0.224453330039978
42,145,2,0.15568266808986664
42,145,4,0.6198640465736389
42,146,1,0.22996219992637637
42,146,2,0.15800005197525024
42,146,4,0.6120378375053406
42,147,1,0.24546194076538083
42,147,2,0.16432474553585052
42,147,4,0.5902133584022522
42,148,1,0.24288782477378845
42,148,2,0.1632550209760666
42,148,4,0.5938571691513062
