dataset,seed,test_window_index,alpha_1,alpha_2,alpha_4
geant,42,46,0.13897052407264707,0.26526916027069086,0.5957603454589844
geant,42,47,0.1399850696325302,0.26349353790283203,0.5965214371681212
geant,42,48,0.1414804756641388,0.26091498136520386,0.5976045727729796
geant,42,49,0.1406361162662506,0.26308533549308777,0.5962785482406616
geant,42,50,0.1409729570150375,0.26280540227890015,0.5962216258049011
geant,42,51,0.13929645717144012,0.26636683940887446,0.5943366885185242
geant,42,52,0.142577663064003,0.2599457800388336,0.5974765419960022
geant,42,53,0.1440177410840988,0.2573818564414978,0.5986003875732422
geant,42,54,0.15024569630622864,0.2454255372285843,0.6043287515640259
geant,42,55,0.15124180912971497,0.2437429130077362,0.6050152778625488
geant,42,56,0.1496790498495102,0.2469220757484436,0.603398859500885
geant,42,57,0.14699265360832214,0.25265806913375854,0.6003493070602417
geant,42,58,0.1505153924226761,0.24607598781585693,0.6034086346626282
geant,42,59,0.15165415406227112,0.24377143383026123,0.60457444190979
geant,42,60,0.16122186183929443,0.22666248679161072,0.6121156811714172
geant,42,61,0.1624234169721603,0.224645271897316,0.6129313111305237
geant,42,62,0.16214677691459656,0.2252325415611267,0.6126206517219543
geant,42,63,0.16214750707149503,0.22490310668945312,0.6129494309425354
geant,42,64,0.16408367455005643,0.22210080921649927,0.6138155460357666
geant,42,65,0.16117839515209198,0.227340430021286,0.6114811897277832
geant,42,66,0.1625535786151886,0.22523690760135648,0.6122094988822937
geant,42,67,0.16257543861865997,0.22574506700038907,0.6116794943809509
geant,42,68,0.15462002158164978,0.2405911237001419,0.6047888994216919
geant,42,69,0.1468193084001541,0.2578752636909485,0.5953054428100586
geant,42,70,0.14475205540657043,0.2636546194553375,0.591593325138092
geant,42,71,0.15039560198783875,0.25184717774391174,0.5977572202682495
geant,42,72,0.1429561078548431,0.27057263255119324,0.5864712595939636
geant,42,73,0.1457562893629074,0.2649425268173218,0.5893012285232544
geant,42,74,0.1458674520254135,0.2654086947441101,0.5887238383293152
geant,42,75,0.14274606108665466,0.27342268824577326,0.583831250667572
geant,42,76,0.14490242302417755,0.26877182722091675,0.5863257646560669
geant,42,77,0.14453831315040588,0.2701435089111328,0.5853182077407837
geant,42,78,0.15086005628108978,0.25591933727264404,0.5932206511497498
geant,42,79,0.15171378850936887,0.25477999448776245,0.5935062170028688
geant,42,80,0.1541110873222351,0.250003457069397,0.5958855152130127
geant,42,81,0.15168724954128265,0.2559044659137726,0.592408299446106
geant,42,82,0.15120625495910645,0.25735491514205927,0.5914387702941896
geant,42,83,0.1566011905670166,0.24567793309688568,0.5977208614349365
geant,42,84,0.16333450376987457,0.23191310465335843,0.6047524213790894
geant,42,85,0.16103500127792358,0.2369597256183624,0.6020052433013916
geant,42,86,0.16373658180236816,0.23151035606861117,0.6047530770301819
geant,42,87,0.1653733104467392,0.22815249860286713,0.6064742207527161
geant,42,88,0.16643741726875305,0.226244792342186,0.6073178052902222
geant,42,89,0.15593813359737396,0.24902866780757904,0.5950331091880798
geant,42,90,0.1473926156759262,0.2690322995185852,0.5835751295089722
geant,42,91,0.13556179404258728,0.2988224029541016,0.5656157732009888
geant,42,92,0.12846501171588895,0.3181312084197998,0.5534037351608276
geant,42,93,0.12576673924922943,0.3260195553302765,0.5482137203216553
geant,42,94,0.12158028036355972,0.33832862973213196,0.5400910973548889
geant,42,95,0.12548078596591947,0.3278854787349701,0.546633780002594
geant,42,96,0.1206495389342308,0.34196197986602783,0.5373884439468384
geant,42,97,0.12673182785511017,0.3255857527256012,0.5476824045181273
geant,42,98,0.12626194953918457,0.32764676213264465,0.5460913181304932
geant,42,99,0.1252970993518829,0.33028271794319153,0.5444202423095703
